"Time","Observations","Pruning"
23.9042820930481,10,"  95% mass"
25.77468085289,10,"  95% mass"
22.3178172111511,10,"  95% mass"
23.5252950191498,10,"  95% mass"
21.4982872009277,10,"  95% mass"
26.1139807701111,10,"  95% mass"
19.2419018745422,10,"  95% mass"
24.9113800525665,10,"  95% mass"
20.297679901123,10,"  95% mass"
25.1575901508331,10,"  95% mass"
25.9521100521088,10,"  95% mass"
25.3591928482056,10,"  95% mass"
34.2949559688568,30,"  95% mass"
35.05309009552,30,"  95% mass"
47.5713438987732,30,"  95% mass"
55.7006769180298,30,"  95% mass"
39.2516419887543,30,"  95% mass"
62.804524898529,30,"  95% mass"
60.3641390800476,30,"  95% mass"
39.8872830867767,30,"  95% mass"
46.4874501228333,30,"  95% mass"
46.5063259601593,30,"  95% mass"
42.7499611377716,30,"  95% mass"
40.417680978775,30,"  95% mass"
39.7422299385071,30,"  95% mass"
38.886470079422,30,"  95% mass"
58.1017689704895,30,"  95% mass"
45.9170470237732,30,"  95% mass"
50.2411811351776,30,"  95% mass"
48.391685962677,30,"  95% mass"
52.6477990150452,30,"  95% mass"
52.3148338794708,30,"  95% mass"
110.700251102448,50,"  95% mass"
102.970862865448,50,"  95% mass"
72.191675901413,50,"  95% mass"
96.4564211368561,50,"  95% mass"
92.5545871257782,50,"  95% mass"
81.3431680202484,50,"  95% mass"
52.4066700935364,50,"  95% mass"
70.647999048233,50,"  95% mass"
43.3559398651123,50,"  95% mass"
73.316691160202,50,"  95% mass"
46.9610948562622,50,"  95% mass"
62.4535810947418,50,"  95% mass"
40.7134540081024,50,"  95% mass"
67.9766490459442,50,"  95% mass"
71.2536301612854,50,"  95% mass"
100.546748161316,50,"  95% mass"
51.1454150676727,50,"  95% mass"
85.4134321212769,50,"  95% mass"
67.5120720863342,50,"  95% mass"
66.9524269104004,50,"  95% mass"
39.6720170974731,10,"100% mass"
38.0528650283813,10,"100% mass"
46.0283551216125,10,"100% mass"
45.9758849143982,10,"100% mass"
42.0799400806427,10,"100% mass"
37.8382339477539,10,"100% mass"
40.6796660423279,10,"100% mass"
42.189257144928,10,"100% mass"
43.5224521160126,10,"100% mass"
42.0974531173706,10,"100% mass"
33.9912109375,10,"100% mass"
44.6630170345306,10,"100% mass"
33.6584029197693,10,"100% mass"
43.349151134491,10,"100% mass"
