"Score","Observations","Pruning"
0.181800179613218,30,"100% mass"
0.214962948321702,30,"100% mass"
0.350802570715726,30,"100% mass"
0.555657426574738,30,"100% mass"
0.228972731522613,30,"100% mass"
0.277586509253121,30,"100% mass"
0.256768990781887,30,"100% mass"
0.493024623493515,30,"100% mass"
0.311677406673436,30,"100% mass"
0.213950125009965,30,"100% mass"
0.249908089160863,30,"100% mass"
0.170143195783137,30,"100% mass"
0.240304078954776,30,"100% mass"
0.242448309714502,30,"100% mass"
0.181968717970654,30,"100% mass"
0.161594069984111,50,"100% mass"
0.134990116398344,50,"100% mass"
0.187578450900582,50,"100% mass"
0.339564110446569,50,"100% mass"
0.164722668564829,50,"100% mass"
0.160103341275565,50,"100% mass"
0.470297782646111,50,"100% mass"
0.326213768339138,50,"100% mass"
0.247636674477675,50,"100% mass"
0.179884853684344,50,"100% mass"
0.443548293357067,50,"100% mass"
0.284539091234836,50,"100% mass"
0.216681682638401,50,"100% mass"
0.218866409630189,50,"100% mass"
0.209856532818168,50,"100% mass"
0.149183608830978,50,"100% mass"
0.545796085674621,50,"100% mass"
0.157120921786538,50,"100% mass"
0.186206753468985,50,"100% mass"
0.188602622447527,50,"100% mass"
